Partition Size, Num Processes, Integral Value, Time (s)
100000000, 1, 3.1415926535904264, 18.5339
100000000, 2, 3.1415926535900223, 10.9033
100000000, 3, 3.1415926535901537, 8.2879
100000000, 4, 3.1415926535902168, 6.9517
100000000, 5, 3.1415926535896439, 5.7873
100000000, 6, 3.1415926535896723, 5.0624
100000000, 7, 3.1415926535896643, 4.8698
100000000, 8, 3.1415926535896137, 4.6022
100000000, 9, 3.1415926535897531, 4.3788
100000000, 10, 3.1415926535897452, 4.1296
100000000, 11, 3.1415926535897376, 4.0005
100000000, 12, 3.1415926535897389, 3.9757
100000000, 13, 3.1415926535897492, 4.0321
100000000, 14, 3.1415926535897487, 3.7195
100000000, 15, 3.1415926535897460, 3.9164
100000000, 16, 3.1415926535897749, 3.8209
100000000, 17, 3.1415926535897309, 3.9929
100000000, 18, 3.1415926535897443, 3.6074
100000000, 19, 3.1415926535897452, 3.6411
100000000, 20, 3.1415926535897505, 3.3918
100000000, 21, 3.1415926535897531, 3.4586
100000000, 22, 3.1415926535897594, 3.4215
100000000, 23, 3.1415926535897594, 3.3972
100000000, 24, 3.1415926535897540, 4.0745
100000000, 25, 3.1415926535897514, 4.0602
100000000, 26, 3.1415926535897531, 3.9509
100000000, 27, 3.1415926535897505, 4.2737
100000000, 28, 3.1415926535897492, 4.0521
100000000, 29, 3.1415926535897540, 4.5378
100000000, 30, 3.1415926535897603, 4.5653
100000000, 31, 3.1415926535897682, 4.7614
