id,comm_time,comp_time,hostname
0,4.14,39.19,xcnc33.comp.nus.edu.sg
1,7.12,36.22,xcnc33.comp.nus.edu.sg
2,4.56,38.77,xcnc33.comp.nus.edu.sg
3,4.2,39.13,xcnc33.comp.nus.edu.sg
4,4.13,39.23,xcnc33.comp.nus.edu.sg
5,5.27,38.11,xcnc33.comp.nus.edu.sg
6,4.14,39.34,xcnc33.comp.nus.edu.sg
min,33.56,36.22,
mean,4.79428571428571,38.57,
max,7.12,39.34,
,,,
10,4.33,18.04,xcnc33.comp.nus.edu.sg
2,4.37,18.12,xcnc33.comp.nus.edu.sg
0,4.34,18.5,xcnc33.comp.nus.edu.sg
8,4.33,18.84,xcnc33.comp.nus.edu.sg
11,4.32,18.95,xcnc33.comp.nus.edu.sg
1,4.36,18.93,xcnc33.comp.nus.edu.sg
9,4.37,19.28,xcnc33.comp.nus.edu.sg
5,4.32,19.87,xcnc33.comp.nus.edu.sg
3,4.34,19.93,xcnc33.comp.nus.edu.sg
7,4.33,20.06,xcnc33.comp.nus.edu.sg
4,4.33,23.1,xcnc33.comp.nus.edu.sg
6,4.33,23.93,xcnc33.comp.nus.edu.sg
12,9.67,18.64,xcnc34.comp.nus.edu.sg
13,12.11,16.21,xcnc34.comp.nus.edu.sg
14,10.01,18.3,xcnc34.comp.nus.edu.sg
min,4.32,16.21,
mean,5.59066666666667,19.38,
max,12.11,23.93,
,,,
6,31.13,11.49,xcnc33.comp.nus.edu.sg
9,31.15,11.96,xcnc33.comp.nus.edu.sg
4,31.14,12.03,xcnc33.comp.nus.edu.sg
10,31.13,12.05,xcnc33.comp.nus.edu.sg
5,31.14,12.22,xcnc33.comp.nus.edu.sg
1,31.14,12.23,xcnc33.comp.nus.edu.sg
7,31.14,12.26,xcnc33.comp.nus.edu.sg
8,31.13,12.41,xcnc33.comp.nus.edu.sg
2,31.15,12.47,xcnc33.comp.nus.edu.sg
0,31.16,12.63,xcnc33.comp.nus.edu.sg
3,31.16,15.29,xcnc33.comp.nus.edu.sg
11,31.14,15.32,xcnc33.comp.nus.edu.sg
12,34.79,11.69,xcnc34.comp.nus.edu.sg
15,34.6,11.88,xcnc34.comp.nus.edu.sg
16,34.91,11.56,xcnc34.comp.nus.edu.sg
17,34.47,12.02,xcnc34.comp.nus.edu.sg
13,34.81,11.67,xcnc34.comp.nus.edu.sg
14,34.38,12.08,xcnc34.comp.nus.edu.sg
18,34.99,11.52,xcnc34.comp.nus.edu.sg
19,34.98,11.54,xcnc34.comp.nus.edu.sg
20,34.73,11.78,xcnc34.comp.nus.edu.sg
22,34.11,12.41,xcnc34.comp.nus.edu.sg
21,34.53,11.98,xcnc34.comp.nus.edu.sg
min,31.13,11.49,
mean,32.8265217391304,12.2821739130435,
max,34.99,15.32,
