id,comm_time,comp_time,hostname
,,,
0,0.78,26.88,xcnc33.comp.nus.edu.sg
1,0.78,28.41,xcnc33.comp.nus.edu.sg
2,0.77,29.32,xcnc33.comp.nus.edu.sg
3,3.19,26.89,xcnc33.comp.nus.edu.sg
4,0.78,29.83,xcnc33.comp.nus.edu.sg
5,4.78,25.83,xcnc33.comp.nus.edu.sg
6,1.27,29.33,xcnc33.comp.nus.edu.sg
min,12.35,25.83,
mean,1.76428571428571,28.07,
max,4.78,29.83,
,,,
0,0.92,18.33,xcnc33.comp.nus.edu.sg
1,0.92,18.51,xcnc33.comp.nus.edu.sg
2,3.46,15.97,xcnc33.comp.nus.edu.sg
3,0.92,19.53,xcnc33.comp.nus.edu.sg
4,4.13,16.32,xcnc33.comp.nus.edu.sg
5,4.2,16.26,xcnc33.comp.nus.edu.sg
6,1.29,19.18,xcnc33.comp.nus.edu.sg
7,3.87,16.59,xcnc33.comp.nus.edu.sg
8,1.25,19.22,xcnc33.comp.nus.edu.sg
9,2.18,18.28,xcnc33.comp.nus.edu.sg
10,1.49,18.98,xcnc33.comp.nus.edu.sg
11,4.67,15.8,xcnc33.comp.nus.edu.sg
12,7.54,12.94,xcnc33.comp.nus.edu.sg
13,6.83,13.65,xcnc33.comp.nus.edu.sg
14,3.07,17.41,xcnc33.comp.nus.edu.sg
min,0.92,12.94,
mean,3.116,17.1313333333333,
max,7.54,19.53,
,,,
0,4.64,15.12,xcnc33.comp.nus.edu.sg
1,4.65,16.07,xcnc33.comp.nus.edu.sg
2,4.64,17.95,xcnc33.comp.nus.edu.sg
3,4.63,18.38,xcnc33.comp.nus.edu.sg
4,10.72,12.29,xcnc33.comp.nus.edu.sg
5,6.29,16.73,xcnc33.comp.nus.edu.sg
6,10.89,12.12,xcnc33.comp.nus.edu.sg
7,8.63,14.39,xcnc33.comp.nus.edu.sg
8,5.36,17.66,xcnc33.comp.nus.edu.sg
9,8.87,14.16,xcnc33.comp.nus.edu.sg
10,5.07,17.96,xcnc33.comp.nus.edu.sg
11,7.69,15.34,xcnc33.comp.nus.edu.sg
12,14.72,8.31,xcnc33.comp.nus.edu.sg
13,5.13,17.9,xcnc33.comp.nus.edu.sg
14,5.07,17.96,xcnc33.comp.nus.edu.sg
15,8.19,14.84,xcnc33.comp.nus.edu.sg
16,6.99,16.05,xcnc33.comp.nus.edu.sg
17,10.74,12.3,xcnc33.comp.nus.edu.sg
18,7.81,15.23,xcnc33.comp.nus.edu.sg
19,9.9,13.14,xcnc33.comp.nus.edu.sg
20,4.65,18.91,xcnc33.comp.nus.edu.sg
21,8.16,15.4,xcnc33.comp.nus.edu.sg
22,7.77,15.79,xcnc33.comp.nus.edu.sg
min,4.63,8.31,
mean,7.44391304347826,15.3913043478261,
max,14.72,18.91,
,,,
0,8.34,16.01,xcnc33.comp.nus.edu.sg
1,8.34,16.82,xcnc33.comp.nus.edu.sg
2,8.55,16.61,xcnc33.comp.nus.edu.sg
3,10.34,14.83,xcnc33.comp.nus.edu.sg
4,13.46,11.71,xcnc33.comp.nus.edu.sg
5,8.83,16.35,xcnc33.comp.nus.edu.sg
6,12.75,12.43,xcnc33.comp.nus.edu.sg
7,10.38,14.79,xcnc33.comp.nus.edu.sg
8,8.34,16.9,xcnc33.comp.nus.edu.sg
9,8.38,16.86,xcnc33.comp.nus.edu.sg
10,9.11,16.13,xcnc33.comp.nus.edu.sg
11,12.3,12.95,xcnc33.comp.nus.edu.sg
12,8.62,16.62,xcnc33.comp.nus.edu.sg
13,11.52,13.73,xcnc33.comp.nus.edu.sg
14,12.08,13.18,xcnc33.comp.nus.edu.sg
15,12.45,12.81,xcnc33.comp.nus.edu.sg
16,13.25,12.01,xcnc33.comp.nus.edu.sg
17,12.6,12.67,xcnc33.comp.nus.edu.sg
18,11.02,14.25,xcnc33.comp.nus.edu.sg
19,11.67,13.6,xcnc33.comp.nus.edu.sg
20,8.66,16.61,xcnc33.comp.nus.edu.sg
21,10.1,15.17,xcnc33.comp.nus.edu.sg
22,11.77,13.51,xcnc33.comp.nus.edu.sg
23,8.43,16.84,xcnc33.comp.nus.edu.sg
24,10.53,14.75,xcnc33.comp.nus.edu.sg
25,13.14,12.15,xcnc33.comp.nus.edu.sg
26,13.4,11.89,xcnc33.comp.nus.edu.sg
27,8.37,16.97,xcnc33.comp.nus.edu.sg
28,12.65,12.68,xcnc33.comp.nus.edu.sg
29,15.67,9.67,xcnc33.comp.nus.edu.sg
30,10.2,15.14,xcnc33.comp.nus.edu.sg
min,8.34,9.67,
mean,10.8145161290323,14.4077419354839,
max,15.67,16.97,
,,,
0,4.37,14.27,xcnc33.comp.nus.edu.sg
1,5.43,13.18,xcnc33.comp.nus.edu.sg
2,5.25,13.4,xcnc33.comp.nus.edu.sg
3,6.3,12.35,xcnc33.comp.nus.edu.sg
