Partition Size, Num Processes, Integral Value, Time (s), Time (s), Time (s),Min  Time (s)
100000000,1,3.1415926535904264,18.3533,20.8109,18.115,18.115
100000000,2,3.1415926535900223,10.8555,15.4591,10.9771,10.8555
100000000,3,3.1415926535901537,8.2843,13.8437,8.3893,8.2843
100000000,4,3.1415926535902168,37.6256,64.3031,37.557,37.557
100000000,5,3.1415926535896439,30.461,59.955,30.397,30.397
100000000,6,3.1415926535896723,25.7557,54.1013,25.6867,25.6867
100000000,7,3.1415926535896643,22.4067,50.6917,22.3602,22.3602
100000000,8,3.1415926535896137,19.93,19.9613,19.862,19.862
100000000,9,3.1415926535897531,17.9469,17.9871,17.9271,17.9271
100000000,10,3.1415926535897452,16.4124,16.4414,16.4172,16.4124
100000000,11,3.1415926535897376,15.1353,15.1503,15.092,15.092
100000000,12,3.1415926535897389,14.0775,14.0501,14.0662,14.0501
100000000,13,3.1415926535897492,13.1599,13.1796,13.16,13.1599
100000000,14,3.1415926535897487,12.4663,12.3801,12.358,12.358
100000000,15,3.1415926535897460,11.7596,11.7797,11.7469,11.7469
100000000,16,3.1415926535897749,11.1785,11.1563,11.1965,11.1563
100000000,17,3.1415926535897309,10.6423,10.6831,10.6086,10.6086
100000000,18,3.1415926535897443,10.1924,10.1901,10.1572,10.1572
100000000,19,3.1415926535897452,9.7785,9.7784,9.7807,9.7784
100000000,20,3.1415926535897505,10.0617,10.2605,10.1944,10.0617
100000000,21,3.1415926535897531,9.8154,9.7999,9.7904,9.7904
100000000,22,3.1415926535897594,9.6151,10.1346,9.4092,9.4092
100000000,23,3.1415926535897594,9.3166,9.3267,10.4564,9.3166
100000000,24,3.1415926535897540,9.0585,9.3008,9.1567,9.0585
100000000,25,3.1415926535897514,8.9448,8.7764,8.8317,8.7764
100000000,26,3.1415926535897531,8.6447,8.7917,8.6271,8.6271
100000000,27,3.1415926535897505,8.4078,8.5225,8.4462,8.4078
100000000,28,3.1415926535897492,8.3384,8.3133,8.2769,8.2769
100000000,29,3.1415926535897540,8.0068,7.9713,7.9819,7.9713
100000000,30,3.1415926535897603,7.8166,8.144,7.8841,7.8166
100000000,31,3.1415926535897682,7.8447,7.7776,7.7526,7.7526
100000000,32,3.1415926535897736,7.7285,8.2518,7.8526,7.7285
