Partition Size, Num Processes, Integral Value, Time (s), Time (s), Time (s),Min Time (s)
100000000,1,3.1415926535904264,18.5339,18.1252,18.1268,18.1252
100000000,2,3.1415926535900223,10.9033,10.5409,11.0372,10.5409
100000000,3,3.1415926535901537,8.2879,6.8756,8.2565,6.8756
100000000,4,3.1415926535902168,6.9517,6.9075,6.8747,6.8747
100000000,5,3.1415926535896439,5.7873,5.7082,5.9894,5.7082
100000000,6,3.1415926535896723,5.0624,5.2631,5.0666,5.0624
100000000,7,3.1415926535896643,4.8698,4.904,4.8789,4.8698
100000000,8,3.1415926535896137,4.6022,4.485,4.3048,4.3048
100000000,9,3.1415926535897531,4.3788,4.3606,4.2921,4.2921
100000000,10,3.1415926535897452,4.1296,3.815,4.236,3.815
100000000,11,3.1415926535897376,4.0005,3.8569,3.9983,3.8569
100000000,12,3.1415926535897389,3.9757,3.6825,3.7817,3.6825
100000000,13,3.1415926535897492,4.0321,3.7273,3.6293,3.6293
100000000,14,3.1415926535897487,3.7195,3.8157,3.8307,3.7195
100000000,15,3.1415926535897460,3.9164,3.524,3.4354,3.4354
100000000,16,3.1415926535897749,3.8209,3.6373,3.6619,3.6373
100000000,17,3.1415926535897309,3.9929,3.5395,3.5108,3.5108
100000000,18,3.1415926535897443,3.6074,3.444,3.5177,3.444
100000000,19,3.1415926535897452,3.6411,3.4775,3.4754,3.4754
100000000,20,3.1415926535897505,3.3918,3.582,3.3666,3.3666
100000000,21,3.1415926535897531,3.4586,3.4988,3.5063,3.4586
100000000,22,3.1415926535897594,3.4215,3.5972,3.677,3.4215
100000000,23,3.1415926535897594,3.3972,3.5882,3.4674,3.3972
100000000,24,3.1415926535897540,4.0745,3.8928,3.7294,3.7294
100000000,25,3.1415926535897514,4.0602,4.0026,4.0922,4.0026
100000000,26,3.1415926535897531,3.9509,4.0549,4.1078,3.9509
100000000,27,3.1415926535897505,4.2737,4.3843,4.345,4.2737
100000000,28,3.1415926535897492,4.0521,4.2845,4.3373,4.0521
100000000,29,3.1415926535897540,4.5378,4.5955,4.3072,4.3072
100000000,30,3.1415926535897603,4.5653,4.3079,4.438,4.3079
100000000,31,3.1415926535897682,4.7614,4.573,4.4178,4.4178
