, 2, 4, 6, 8, 10, 12, 14
100000000, 0.5030,0.2564,0.1793,0.1473,0.1245,0.1093,0.1474,
200000000, 0.9146,0.4757,0.3342,0.2525,0.2132,0.2579,0.2499,
300000000, 1.2604,0.6908,0.4758,0.3621,0.3010,0.2529,0.3540,
400000000, 1.5576,0.8676,0.6181,0.4806,0.3920,0.3774,0.4403,
500000000, 1.8643,1.0386,0.7569,0.5814,0.4766,0.3990,0.5172,
600000000, 2.1950,1.1954,0.8622,0.6951,0.5638,0.5372,0.5851,
700000000, 2.3046,1.3958,0.9978,0.7834,0.6512,0.6313,0.6745,
800000000, 2.6552,1.5742,1.1241,0.8674,0.7231,0.7436,0.7446,
900000000, 2.9991,1.6893,1.2397,1.1616,0.8107,0.6912,0.8321,
1000000000, 3.4900,1.8507,1.3556,1.0633,0.8761,0.7566,0.8849,
